Iteraciones (eje x),Media de la población i-ésima (Eje y)
1,446.5
2,401.05
3,303.65
4,637.0
5,637.0
6,637.0
7,637.0
8,637.0
9,637.0
10,637.0
11,637.0
12,637.0
13,637.0
14,637.0
15,637.0
16,637.0
17,637.0
18,637.0
19,637.0
20,637.0
21,637.0
22,637.0
23,637.0
24,637.0
25,637.0
26,637.0
27,637.0
28,637.0
29,637.0
30,637.0
31,637.0
32,637.0
33,637.0
34,637.0
35,637.0
36,637.0
37,637.0
38,637.0
39,637.0
40,637.0
41,637.0
42,637.0
43,637.0
44,637.0
45,637.0
46,637.0
47,637.0
48,637.0
49,637.0
50,637.0
51,637.0
52,637.0
53,637.0
54,637.0
55,637.0
56,637.0
57,637.0
58,637.0
59,637.0
60,637.0
61,637.0
62,637.0
63,637.0
64,637.0
65,637.0
66,637.0
67,637.0
68,637.0
69,637.0
70,637.0
71,637.0
72,637.0
73,637.0
74,637.0
75,637.0
76,637.0
77,637.0
78,637.0
79,637.0
80,637.0
81,637.0
82,637.0
83,637.0
84,637.0
85,637.0
86,637.0
87,637.0
88,637.0
89,637.0
90,637.0
91,637.0
92,637.0
93,637.0
94,637.0
95,637.0
96,637.0
97,637.0
98,637.0
99,637.0
100,637.0
